time (seconds),encoderLeft (meters),encoderRight (meters)
32.302,1.209605097770691,0.9195555448532104
32.402,1.2121278047561646,0.917128324508667
32.499,1.2171262502670288,0.9221221804618835
32.601,1.2221250534057617,0.9271208643913269
32.702,1.2271238565444946,0.932119607925415
32.802,1.2321226596832275,0.9371182918548584
32.899,1.23712158203125,0.9421170353889465
33.002,1.242120385169983,0.9471156597137451
33.101,1.2471191883087158,0.952114462852478
33.203,1.2521179914474487,0.9571130871772766
33.301,1.2571169137954712,0.9621118307113647
33.402,1.262115716934204,0.9671105742454529
33.501,1.267114520072937,0.9721091985702515
33.602,1.2721134424209595,0.9771079421043396
33.702,1.2771122455596924,0.982106626033783
33.801,1.2821110486984253,0.9871053695678711
33.9,1.2871098518371582,0.9921040534973145
34.002,1.2921087741851807,0.9971027970314026
34.102,1.2971075773239136,1.0021014213562012
34.202,1.3021063804626465,1.007100224494934
34.3,1.307105302810669,1.0120989084243774
34.399,1.3121041059494019,1.0170975923538208
34.502,1.3171029090881348,1.0220962762832642
34.603,1.3221017122268677,1.0270949602127075
34.7,1.3271006345748901,1.0320937633514404
34.802,1.332099437713623,1.0370924472808838
34.901,1.337098240852356,1.0420911312103271
35.002,1.3420970439910889,1.0470898151397705
35.103,1.3470959663391113,1.0520884990692139
35.201,1.3520947694778442,1.0570873022079468
35.302,1.3570935726165771,1.0620858669281006
35.4,1.36209237575531,1.067084550857544
35.501,1.367091178894043,1.0720832347869873
35.602,1.3720901012420654,1.0770820379257202
35.702,1.3770889043807983,1.0820807218551636
35.802,1.3820877075195312,1.087079405784607
35.902,1.3870866298675537,1.0920782089233398
36.003,1.3920854330062866,1.0970768928527832
36.102,1.397084355354309,1.1020755767822266
36.203,1.402083158493042,1.10707426071167
36.301,1.407081961631775,1.1120730638504028
36.402,1.4120807647705078,1.1170717477798462
36.502,1.4170796871185303,1.1220704317092896
36.6,1.4220784902572632,1.127069115638733
36.7,1.427077293395996,1.1320677995681763
36.803,1.4320762157440186,1.1370664834976196
36.902,1.4370750188827515,1.1420652866363525
37.002,1.4420490264892578,1.146989107131958
37.1,1.4445477724075317,1.1444917917251587
37.202,1.4470210075378418,1.142014980316162
